Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,121092701253.746,126749741990.734,135418563141.455,142837533703.233,154511423313.434,179564275455.807,216760312151.616,208068814688.605,234321743781.76,261764344205.025,259613579190.332,292408330563.864,305674837195.003,296075434804.981,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Israel,ISR,8.2569784904523,8.45962904289978,8.13773962265498,7.57301949009211,7.40575031865679,6.67994595902738,6.50267617090815,6.71870641446865,6.21340377406537,5.87271060312032,5.67843197685431,5.77056238303411,5.92334423997469,5.43680547663664,..
Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,Israel,ISR,147492912543.461,146304092003.209,151008825889.275,155579834180.262,162771864134.795,173450922706.606,176239636266.381,179028617277.347,186453864669.698,192226531158.064,197266648836.587,205301952393.688,212547472586.253,221673174645.627,..
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD,Israel,ISR,67549284478.0278,70695636898.6188,75854752342.7041,79585979454.9547,86221105076.5295,102682261872.885,125721014492.754,117825954276.123,134117945974.86,149337078337.665,143996472937.576,162407776669.99,170790407781.101,163855613872.594,..
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 11/17/2016,,,,,,,,,,,,,,,,,,
